Chain,DeFi Application,Transaction Hash
ETH,API3,0x76a40af065fc644020c241857af7ce1b020eb06a80138d44aa9518f7a4c13930
ETH,Flexa,0xa205adbc87ed0b2dffff500bacad3f99efb6f491b25bfb6a2432bf2275839579
BSC,BabyDogeSwap,0xe08959cc85d16ec15fc4fc9a67c95b080c0522e5a3ee965dcc99d088d9a9e576
BSC,Bitgert,0x86bc3a8a6328f0aea840be954bb4b3589e1ae3f8642697a6b22f2639e6005e71
ETH,Flexa,0x32514c0a738900d951b6be1e1e207d41b5b36d10ced0b9954e93d62502f82d9d
ETH,Coinbase Wrapped Staked ETH,0xd4d46af9bcfeb735a57a9547c6bcb0db65ab0ac48551b0197fba879694c633ca
ETH,YFII,0x0be5308d7b0671a887ee1af389eff30f811e10496d9b976da597bf31ab5f969f
BSC,Drip,0x5d1825e54a5220a00f92063e5f0ff3392e4afa1a915f5ea8e8a7bd176d74a128
BSC,BiSwap,0x56d15dd37bde4354f6a780ebe359c4eb77547558ef3635935e0a1fe1e0939e15
ETH,Voyager,0x66f59cb02e91f49ce6de13563d056ce35ac65ebbb262f8f26aa2c50260b1812e
ETH,Flexa,0x5b6355acc7700809cd82e1f315f02f7cf47296198c1c7723bdb5a01d87152864
ETH,SuperFarm,0x74e589aec3f16d238962ac55cbb228ae062a0436c1eef00eb28d9370e1b1e707
ETH,Liquity,0x36503deabd232b4a253cf67591ffe9827899bb6da2983f347450c42e5fe694d2
BSC,BabyDogeSwap,0xd471fa4349d9c2ac2c94bc99418cc29a21f15378737a1dd34f4637dfac4574ca
ETH,AAVE V2,0x1bf1e480642256005d27179db0ad0133928f83ffb3389f6ed11d808bb32ba9e9
ETH,Hashflow,0x724f9da7b841bdb8300a3181307d48841f74ac0a537e68ac442413b5fd7b20fc
BSC,BabyDogeSwap,0x1ee9612dcfa8aa526d4fe2ab7889742541aecb6e03d4b611b192cf78d122c0a1
ETH,Perpetual Protocol,0x8f51a3682a4b3a0d5c0256256dea2b558b8a0715e4d940a75974b665d49565a7
BSC,Drip,0xf342e1c212a5dc8b43b645e11acf8e6e93a879cf560debaef0d43992f6afde9b
ETH,Erasure,0xa284ec68b73b526d312e581abd15ea4796947c75b36ea5d61ebc63b24a4cb46f
ETH,GETH,0xfef05e51ebb26c2dca965ab70f39b66205f06d9c44a8910ac059f9e47616aaa1
BSC,Bitgert,0x4bf8d469c841ef0db72eae26593700904d87b02d3e920acac80e8e4d0e82edeb
BSC,TaiChi,0xd748fe9fe38f95fb180a030e77bf65bc19be481ced4e3811ea4cbe630c9342ff
ETH,AAVE V2,0x0b01775f10822d747a5b3d3fe6d21b5aaecc8ee15466bd37f52ca93ea1561cfe
ETH,Uniswap V3,0xee0ba7c6970e76d5c650219c07d704fac9e2bd6228512a1b1e2650803c3106a7
ETH,Compound V3,0x5ed62a7d4f38ea1047eabaa2cfae46d1df47ad7d812dc99268f3d28683808ad7
